Airport,IATACode,State,City,Lat,Lon
Cincinnati,CVG,OH,Cincinnati,39.04880142,-84.6678009
Cleveland,CLE,OH,Cleveland,41.4117012,-81.84980011
Columbus,CMH,OH,Columbus,39.9980011,-82.89189911
Dayton,DAY,OH,Dayton,39.90240097,-84.2193985
Toledo,TOL,OH,Toledo,41.58679962,-83.80780029
Oklahoma City,OKC,OK,Oklahoma_City,35.39310074,-97.60070038
Tulsa,TUL,OK,Tulsa,36.19839859,-95.88809967
Eugene,EUG,OR,Eugene,44.12459946,-123.211998
Portland International Airport,PDX,OR,Portland,45.58869934,-122.5979996
"Portland, Hillsboro Airport",HIO,OR,Hillsboro,45.540401,-122.949997
Salem,SLE,OR,Salem,44.90950012,-123.0029984
Allentown,ABE,PA,Allentown,40.65209961,-75.44080353
Erie,ERI,PA,Erie,42.08312701,-80.17386675
Harrisburg,MDT,PA,Harrisburg,40.19350052,-76.76339722
Philadelphia,PHL,PA,Philadelphia,39.87189865,-75.2410965
Pittsburgh,PIT,PA,Pittsburgh,40.49150085,-80.23290253
Scranton,AVP,PA,Scranton,41.33850098,-75.7233963
Providence - T.F. Green Airport,PVD,RI,Providence,41.73260117,-71.42040253
Charleston,CHS,SC,Charleston,32.89860153,-80.04049683
Columbia,CAE,SC,Columbia,33.93880081,-81.11949921
Greenville,GSP,SC,Greenville,34.89569855,-82.21890259
Myrtle Beach,MYR,SC,Myrtle_Beach,33.67969894,-78.92829895
Pierre,PIR,SD,Pierre,44.38270187,-100.2860031
Rapid City,RAP,SD,Rapid_City,44.04529953,-103.0569992
Sioux Falls,FSD,SD,Sioux_Falls,43.58200073,-96.74189758
Bristol,TRI,TN,Briston,36.47520065,-82.40740204
Chattanooga,CHA,TN,Chattanooga,35.03530121,-85.20379639
Knoxville,TYS,TN,Knoxville,35.81100082,-83.9940033
Memphis,MEM,TN,Memphis,35.04240036,-89.97669983
Nashville,BNA,TN,Nashville,36.12450027,-86.67819977
Amarillo,AMA,TX,Amarillow,35.2193985,-101.7060013
Austin Bergstrom International Airport,AUS,TX,Austin,30.19449997,-97.66989899
Corpus Christi,CRP,TX,Corpus_Christi,27.77039909,-97.50119781
Dallas Love Field Airport,DAL,TX,Dallas,32.8470993,-96.85179901
Dallas/Fort Worth International Airport,DFW,TX,Dallas_Fort_Worth,32.89680099,-97.03800201
El Paso,ELP,TX,El_Paso,31.80719948,-106.3779984
"Houston, William B Hobby Airport",HOU,TX,Houston,29.64539909,-95.27890015
"Houston, George Bush Intercontinental Airport",IAH,TX,Houston,29.9843998,-95.34140015
Lubbock,LBB,TX,Lubbock,33.66360092,-101.822998
Midland,MAF,TX,Midland,31.94249916,-102.2020035
San Antonio International Airport,SAT,TX,San_Antonio,29.53370094,-98.46980286
Salt Lake City,SLC,UT,Salt_Lake_City,40.78839874,-111.9779968
Burlington,BTV,VT,Burlington,44.47190094,-73.15329742
Montpelier,MPV,VT,Montpelier,44.20349884,-72.56230164
Rutland,RUT,VT,Rutland,43.52939987,-72.94960022
Newport News,PHF,VA,Newport_News,37.13190079,-76.49299622
Norfolk,ORF,VA,Norfolk,36.89459991,-76.20120239
Richmond,RIC,VA,Richmond,37.50519943,-77.31970215
Roanoke,ROA,VA,Roanoke,37.32550049,-79.97540283
"Pasco, Pasco/Tri-Cities Airport",PSC,WA,Pasco,46.26470184,-119.1190033
"Seattle, Tacoma International Airport",SEA,WA,Seattle,47.44900131,-122.3089981
Spokane International Airport,GEG,WA,Spokane,47.61989975,-117.5339966
Charleston,CRW,WV,Charleston,38.37310028,-81.59320068
Clarksburg,CKB,WV,Clarksburg,39.29660034,-80.22810364
Huntington Tri-State Airport,HTS,WV,Huntington,38.36669922,-82.55799866
Green Bay,GRB,WI,Green_Bay,44.48509979,-88.12960052
Madison,MSN,WI,Madison,43.13990021,-89.33750153
Milwaukee,MKE,WI,Milwaukee,42.94720078,-87.89659882
Casper,CPR,WY,Casper,42.90800095,-106.4639969
Cheyenne,CYS,WY,Cheyenne,41.15570068,-104.8119965
Jackson Hole,JAC,WY,Jackson_Hole,43.6072998,-110.737999
Rock Springs,RKS,WY,Rock_Springs,41.59420013,-109.0650024
